transaction_id,merchant_id,transaction_date,transaction_amount,currency,payment_method,status,failure_reason,country,customer_id
TXN000001,M0079,2024-01-01 0:00:00,638.54,GBP,credit_card,successful,,Nigeria,C00493
TXN000002,M0052,2024-01-01 1:00:00,404.26,USD,crypto,chargeback,,Kenya,C00648
TXN000003,M0039,2024-01-01 2:00:00,27.81,EUR,credit_card,successful,,Canada,C00711
TXN000004,M0097,2024-01-01 3:00:00,956.75,NGN,mobile_money,successful,,UK,C00057
TXN000005,M0056,2024-01-01 4:00:00,459.85,GBP,crypto,successful,,UK,C00735
TXN000006,M0074,2024-01-01 5:00:00,593.62,NGN,credit_card,successful,,Canada,C00602
TXN000007,M0043,2024-01-01 6:00:00,33.21,KES,credit_card,failed,,Nigeria,C00479
TXN000008,M0022,2024-01-01 7:00:00,200.79,EUR,mobile_money,successful,,Nigeria,C00540
TXN000009,M0094,2024-01-01 8:00:00,819.55,KES,bank_transfer,chargeback,,USA,C00228
TXN000010,M0057,2024-01-01 9:00:00,593.15,EUR,bank_transfer,successful,,Germany,C00754
TXN000011,M0082,2024-01-01 10:00:00,617.22,NGN,credit_card,successful,,Kenya,C00168
TXN000012,M0007,2024-01-01 11:00:00,366.68,USD,bank_transfer,chargeback,,UK,C00365
TXN000013,M0090,2024-01-01 12:00:00,698.14,KES,bank_transfer,successful,,Nigeria,C00462
TXN000014,M0011,2024-01-01 13:00:00,434.88,NGN,mobile_money,successful,,Kenya,C00113
TXN000015,M0099,2024-01-01 14:00:00,465.05,KES,credit_card,successful,,USA,C00684
TXN000016,M0019,2024-01-01 15:00:00,957.18,NGN,bank_transfer,successful,,Germany,C00752
TXN000017,M0033,2024-01-01 16:00:00,349.74,KES,credit_card,successful,,UK,C00764
TXN000018,M0068,2024-01-01 17:00:00,690.13,USD,mobile_money,successful,,Germany,C00413
TXN000019,M0016,2024-01-01 18:00:00,616.42,NGN,mobile_money,successful,,Canada,C00259
TXN000020,M0025,2024-01-01 19:00:00,604.18,EUR,credit_card,successful,,USA,C00089
TXN000021,M0031,2024-01-01 20:00:00,832.47,USD,crypto,successful,,USA,C00198
TXN000022,M0049,2024-01-01 21:00:00,489.69,KES,mobile_money,successful,,Kenya,C00430
TXN000023,M0049,2024-01-01 22:00:00,909.12,KES,mobile_money,successful,,Germany,C00748
TXN000024,M0073,2024-01-01 23:00:00,212.4,NGN,credit_card,successful,,Nigeria,C00256
TXN000025,M0074,2024-01-02 0:00:00,371.71,USD,crypto,successful,,USA,C00269
TXN000026,M0097,2024-01-02 1:00:00,164.43,KES,credit_card,successful,,Nigeria,C00183
TXN000027,M0057,2024-01-02 2:00:00,565.64,GBP,bank_transfer,successful,,Canada,C00152
TXN000028,M0062,2024-01-02 3:00:00,32.16,KES,credit_card,successful,,Nigeria,C00815
TXN000029,M0077,2024-01-02 4:00:00,121.91,KES,bank_transfer,successful,,UK,C00755
TXN000030,M0054,2024-01-02 5:00:00,562.63,KES,bank_transfer,successful,,Nigeria,C00544
TXN000031,M0099,2024-01-02 6:00:00,124.7,USD,bank_transfer,successful,,Germany,C00361
TXN000032,M0043,2024-01-02 7:00:00,399.92,EUR,bank_transfer,chargeback,Bank declined,UK,C00666
TXN000033,M0080,2024-01-02 8:00:00,812.75,USD,mobile_money,successful,,Germany,C00841
TXN000034,M0047,2024-01-02 9:00:00,941.33,KES,bank_transfer,successful,,UK,C00953
TXN000035,M0094,2024-01-02 10:00:00,835.36,USD,crypto,successful,,UK,C00334
TXN000036,M0076,2024-01-02 11:00:00,432.64,USD,credit_card,successful,,UK,C00791
TXN000037,M0038,2024-01-02 12:00:00,512.15,GBP,crypto,successful,,Canada,C00705
TXN000038,M0086,2024-01-02 13:00:00,429.95,NGN,crypto,successful,,UK,C00286
TXN000039,M0020,2024-01-02 14:00:00,210.1,EUR,crypto,successful,,Canada,C00054
TXN000040,M0006,2024-01-02 15:00:00,99.29,GBP,crypto,successful,,Germany,C00258
TXN000041,M0027,2024-01-02 16:00:00,107.62,USD,mobile_money,failed,,USA,C00323
TXN000042,M0001,2024-01-02 17:00:00,903.61,USD,bank_transfer,successful,,Kenya,C00389
TXN000043,M0056,2024-01-02 18:00:00,742.15,USD,mobile_money,successful,,Canada,C00986
TXN000044,M0058,2024-01-02 19:00:00,914.33,KES,mobile_money,successful,,UK,C00117
TXN000045,M0062,2024-01-02 20:00:00,873.23,USD,bank_transfer,successful,,UK,C00649
TXN000046,M0056,2024-01-02 21:00:00,886.53,KES,crypto,successful,,Nigeria,C00463
TXN000047,M0045,2024-01-02 22:00:00,893.74,GBP,bank_transfer,failed,,Nigeria,C00872
TXN000048,M0045,2024-01-02 23:00:00,97.7,EUR,bank_transfer,successful,,USA,C00147
TXN000049,M0034,2024-01-03 0:00:00,134.03,NGN,crypto,successful,,USA,C00561
